user_id,utc_date,model,api_key_name,api_key,type,price,amount
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,output_tokens,0.000006,103325
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,request_count,,192
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,input_cache_hit_tokens,0.000000025,8735232
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,input_cache_miss_tokens,0.000003,719553
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,output_tokens,0.000002,48132
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,request_count,,46
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,input_cache_hit_tokens,0.00000002,514304
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-21,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,input_cache_miss_tokens,0.000001,316083
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-22,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,output_tokens,0.000006,7429
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-22,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,request_count,,11
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-22,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,input_cache_hit_tokens,0.000000025,434688
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-22,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,input_cache_miss_tokens,0.000003,116964
63431cad-7ca9-48c9-91d0-38569e772819,2026-05-22,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,output_tokens,0.000002,346
