user_id,utc_date,model,api_key_name,api_key,type,price,amount
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,output_tokens,0.000006,7579
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,request_count,,12
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,input_cache_hit_tokens,0.000000025,1664
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,input_cache_miss_tokens,0.000003,1328
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,output_tokens,0.000006,59250
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,request_count,,86
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,input_cache_hit_tokens,0.000000025,6766848
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,PC-wsl,sk-13bef***********************928d,input_cache_miss_tokens,0.000003,181771
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-cherry studio,sk-61069***********************f0a5,output_tokens,0.000002,700
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-cherry studio,sk-61069***********************f0a5,request_count,,12
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-cherry studio,sk-61069***********************f0a5,input_cache_hit_tokens,0.00000002,896
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-cherry studio,sk-61069***********************f0a5,input_cache_miss_tokens,0.000001,2759
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,output_tokens,0.000002,6480
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,request_count,,12
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,input_cache_hit_tokens,0.00000002,56576
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,PC-wsl,sk-13bef***********************928d,input_cache_miss_tokens,0.000001,16784
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-02,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,output_tokens,0.000006,64
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-02,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,request_count,,1
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-02,deepseek-v4-pro,PC-cherry studio,sk-61069***********************f0a5,input_cache_miss_tokens,0.000003,10
